Ticker,XGB Optuna CV,XGB Independent CV,LGBM Optuna CV,LGBM Independent CV,Best Independent CV,Winner
META,0.5763,0.57,0.5871,0.5683,0.57,XGBoost
MSFT,0.5767,0.5597,0.5631,0.5615,0.5615,LightGBM
BAC,0.5418,0.5591,0.5781,0.5184,0.5591,XGBoost
GOOGL,0.5595,0.5554,0.5577,0.5539,0.5554,XGBoost
JPM,0.5402,0.5322,0.5897,0.5344,0.5344,LightGBM
GS,0.5351,0.533,0.5599,0.5001,0.533,XGBoost
AAPL,0.5338,0.5087,0.5486,0.5318,0.5318,LightGBM
AMZN,0.5189,0.5209,0.5543,0.505,0.5209,XGBoost
TSLA,0.5299,0.5196,0.5389,0.4909,0.5196,XGBoost
NVDA,0.496,0.4773,0.4928,0.4669,0.4773,XGBoost
